,ids1,ids2,images1,images2,result,tiers,votes1,votes2
227,2167,2315,https://img.animebracket.com/1o7.jpg,https://img.animebracket.com/1sb.jpg,1,1,2135,1068
228,2030,2373,https://img.animebracket.com/1ke.jpg,https://img.animebracket.com/1tx.jpg,1,1,2898,459
229,1803,2109,https://img.animebracket.com/1e3.jpg,https://img.animebracket.com/1ml.jpg,1,1,1843,1433
230,1802,2153,https://img.animebracket.com/1e2.jpg,https://img.animebracket.com/1nt.jpg,1,1,2661,650
231,2248,1823,https://img.animebracket.com/1qg.jpg,https://img.animebracket.com/1en.jpg,1,1,1830,1383
232,1787,2145,https://img.animebracket.com/1dn.jpg,https://img.animebracket.com/1nl.jpg,1,1,2940,479
233,2141,2389,https://img.animebracket.com/1nh.jpg,https://img.animebracket.com/1ud.jpg,1,1,1771,1069
234,2433,2067,https://img.animebracket.com/1vl.jpg,https://img.animebracket.com/1lf.jpg,1,1,2521,1014
235,2209,2319,https://img.animebracket.com/1pd.jpg,https://img.animebracket.com/1sf.jpg,1,1,1938,1166
236,1806,2237,https://img.animebracket.com/1e6.jpg,https://img.animebracket.com/1q5.jpg,1,1,2936,411
237,1958,2243,https://img.animebracket.com/1ie.jpg,https://img.animebracket.com/1qb.jpg,1,1,1839,1185
238,1990,1889,https://img.animebracket.com/1ja.jpg,https://img.animebracket.com/1gh.jpg,1,1,2317,911
239,2227,2309,https://img.animebracket.com/1pv.jpg,https://img.animebracket.com/1s5.jpg,1,1,2250,1031
240,1793,1847,https://img.animebracket.com/1dt.jpg,https://img.animebracket.com/1fb.jpg,1,1,3119,503
241,2101,2220,https://img.animebracket.com/1md.jpg,https://img.animebracket.com/1po.jpg,1,1,1724,1282
242,2238,1828,https://img.animebracket.com/1q6.jpg,https://img.animebracket.com/1es.jpg,1,1,2338,711
243,1777,2387,https://img.animebracket.com/1dd.jpg,https://img.animebracket.com/1ub.jpg,1,1,2087,1035
244,1851,2305,https://img.animebracket.com/1ff.jpg,https://img.animebracket.com/1s1.jpg,1,1,2667,433
245,1987,2198,https://img.animebracket.com/1j7.jpg,https://img.animebracket.com/1p2.jpg,1,1,1826,1010
246,1964,1919,https://img.animebracket.com/1ik.jpg,https://img.animebracket.com/1hb.jpg,1,1,2183,964
247,2240,2413,https://img.animebracket.com/1q8.jpg,https://img.animebracket.com/1v1.jpg,1,1,2175,685
248,1952,1816,https://img.animebracket.com/1i8.jpg,https://img.animebracket.com/1eg.jpg,1,1,3189,404
249,2094,2463,https://img.animebracket.com/1m6.jpg,https://img.animebracket.com/1wf.jpg,1,1,1649,1307
